index,Gene symbol,HGNC ID,UniProt
497,AKAP1,HGNC:367,Q92667
498,AKAP3,HGNC:373,O75969
499,AKAP4,HGNC:374,Q5JQC9
500,AKAP5,HGNC:375,P24588
501,AKAP6,HGNC:376,Q13023
502,AKAP7,HGNC:377,O43687
,,,Q9P0M2
503,AKAP8,HGNC:378,O43823
504,AKAP8L,HGNC:29857,Q9ULX6
505,AKAP9,HGNC:379,Q99996
506,AKAP10,HGNC:368,O43572
507,AKAP11,HGNC:369,Q9UKA4
508,AKAP12,HGNC:370,Q02952
509,AKAP13,HGNC:371,Q12802
510,AKAP14,HGNC:24061,Q86UN6
511,AKAP17A,HGNC:18783,Q02040
512,AKIP1,HGNC:1170,Q9NQ31
513,AKIRIN1,HGNC:25744,Q9H9L7
514,AKIRIN2,HGNC:21407,Q53H80
515,AKNA,HGNC:24108,Q7Z591
516,AKNAD1,HGNC:28398,Q5T1N1
517,AKR1A1,HGNC:380,P14550
518,AKR1B1,HGNC:381,P15121
519,AKR1B10,HGNC:382,O60218
520,AKR1B15,HGNC:37281,C9JRZ8
521,AKR1C1,HGNC:384,Q04828
522,AKR1C2,HGNC:385,P52895
523,AKR1C3,HGNC:386,P42330
524,AKR1C4,HGNC:387,P17516
525,AKR1C8,HGNC:23469,Q5T2L2
526,AKR1D1,HGNC:388,P51857
527,AKR1E2,HGNC:23437,Q96JD6
528,AKR7A2,HGNC:389,O43488
529,AKR7A3,HGNC:390,O95154
530,AKR7L,HGNC:24056,Q8NHP1
531,AKT1,HGNC:391,P31749
532,AKT1S1,HGNC:28426,Q96B36
533,AKT2,HGNC:392,P31751
534,AKT3,HGNC:393,Q9Y243
535,AKTIP,HGNC:16710,Q9H8T0
536,ALAD,HGNC:395,P13716
537,ALAS1,HGNC:396,P13196
538,ALAS2,HGNC:397,P22557
539,ALB,HGNC:399,P02768
540,ALCAM,HGNC:400,Q13740
541,ALDH1A1,HGNC:402,P00352
542,ALDH1A2,HGNC:15472,O94788
543,ALDH1A3,HGNC:409,P47895
544,ALDH1B1,HGNC:407,P30837
545,ALDH1L1,HGNC:3978,O75891
546,ALDH1L2,HGNC:26777,Q3SY69
547,ALDH2,HGNC:404,P05091
548,ALDH3A1,HGNC:405,P30838
549,ALDH3A2,HGNC:403,P51648
550,ALDH3B1,HGNC:410,P43353
551,ALDH3B2,HGNC:411,P48448
552,ALDH4A1,HGNC:406,P30038
553,ALDH5A1,HGNC:408,P51649
554,ALDH6A1,HGNC:7179,Q02252
555,ALDH7A1,HGNC:877,P49419
556,ALDH8A1,HGNC:15471,Q9H2A2
557,ALDH9A1,HGNC:412,P49189
558,ALDH16A1,HGNC:28114,Q8IZ83
559,ALDH18A1,HGNC:9722,P54886
560,ALDOA,HGNC:414,P04075
561,ALDOB,HGNC:417,P05062
562,ALDOC,HGNC:418,P09972
563,ALG1,HGNC:18294,Q9BT22
564,ALG1L2,HGNC:37258,C9J202
565,ALG2,HGNC:23159,Q9H553
566,ALG3,HGNC:23056,Q92685
567,ALG5,HGNC:20266,Q9Y673
568,ALG6,HGNC:23157,Q9Y672
569,ALG8,HGNC:23161,Q9BVK2
570,ALG9,HGNC:15672,Q9H6U8
571,ALG10,HGNC:23162,Q5BKT4
572,ALG10B,HGNC:31088,Q5I7T1
573,ALG11,HGNC:32456,Q2TAA5
574,ALG12,HGNC:19358,Q9BV10
575,ALG13,HGNC:30881,Q9NP73
576,ALG14,HGNC:28287,Q96F25
577,ALK,HGNC:427,Q9UM73
578,ALKAL1,HGNC:33775,Q6UXT8
579,ALKAL2,HGNC:27683,Q6UX46
580,ALKBH1,HGNC:17911,Q13686
581,ALKBH2,HGNC:32487,Q6NS38
582,ALKBH3,HGNC:30141,Q96Q83
583,ALKBH4,HGNC:21900,Q9NXW9
584,ALKBH5,HGNC:25996,Q6P6C2
585,ALKBH6,HGNC:28243,Q3KRA9
586,ALKBH7,HGNC:21306,Q9BT30
587,ALKBH8,HGNC:25189,Q96BT7
588,ALLC,HGNC:17377,Q8N6M5
589,ALMS1,HGNC:428,Q8TCU4
590,ALOX5,HGNC:435,P09917
591,ALOX5AP,HGNC:436,P20292
592,ALOX12,HGNC:429,P18054
593,ALOX12B,HGNC:430,O75342
594,ALOX15,HGNC:433,P16050
595,ALOX15B,HGNC:434,O15296
596,ALOXE3,HGNC:13743,Q9BYJ1
597,ALPG,HGNC:441,P10696
598,ALPI,HGNC:437,P09923
599,ALPK1,HGNC:20917,Q96QP1
600,ALPK2,HGNC:20565,Q86TB3
601,ALPK3,HGNC:17574,Q96L96
602,ALPL,HGNC:438,P05186
603,ALPP,HGNC:439,P05187
604,ALS2,HGNC:443,Q96Q42
605,ALS2CL,HGNC:20605,Q60I27
606,ALX1,HGNC:1494,Q15699
607,ALX3,HGNC:449,O95076
608,ALX4,HGNC:450,Q9H161
609,ALYREF,HGNC:19071,Q86V81
610,AMACR,HGNC:451,Q9UHK6
611,AMBN,HGNC:452,Q9NP70
612,AMBP,HGNC:453,P02760
613,AMBRA1,HGNC:25990,Q9C0C7
614,AMD1,HGNC:457,P17707
615,AMDHD1,HGNC:28577,Q96NU7
616,AMDHD2,HGNC:24262,Q9Y303
617,AMELX,HGNC:461,Q99217
618,AMELY,HGNC:462,Q99218
619,AMER1,HGNC:26837,Q5JTC6
620,AMER2,HGNC:26360,Q8N7J2
621,AMER3,HGNC:26771,Q8N944
622,AMFR,HGNC:463,Q9UKV5
623,AMH,HGNC:464,P03971
624,AMHR2,HGNC:465,Q16671
625,AMIGO1,HGNC:20824,Q86WK6
626,AMIGO2,HGNC:24073,Q86SJ2
627,AMIGO3,HGNC:24075,Q86WK7
628,AMMECR1,HGNC:467,Q9Y4X0
629,AMMECR1L,HGNC:28658,Q6DCA0
630,AMN,HGNC:14604,Q9BXJ7
631,AMN1,HGNC:27281,Q8IY45
632,AMOT,HGNC:17810,Q4VCS5
633,AMOTL1,HGNC:17811,Q8IY63
634,AMOTL2,HGNC:17812,Q9Y2J4
635,AMPD1,HGNC:468,P23109
636,AMPD2,HGNC:469,Q01433
637,AMPD3,HGNC:470,Q01432
638,AMPH,HGNC:471,P49418
