,Code,Title
312,1C11.Y,Other forms of bartonellosis
313,1C11.Z,"Bartonellosis, unspecified"
314,1C12,Whooping cough
315,1C12.0,Whooping cough due to Bordetella pertussis
316,1C12.1,Whooping cough due to Bordetella parapertussis
317,1C12.Y,Other specified whooping cough
318,1C12.Z,"Whooping cough, unspecified"
319,1C13,Tetanus
320,1C14,Obstetrical tetanus
321,1C15,Tetanus neonatorum
322,1C16,Gas gangrene
323,1C17,Diphtheria
324,1C17.0,Pharyngeal or tonsillar diphtheria
325,1C17.00,Postdiphtheritic paralysis of uvula
326,1C17.0Y,Other specified pharyngeal or tonsillar diphtheria
327,1C17.0Z,"Pharyngeal or tonsillar diphtheria, unspecified"
328,1C17.1,Nasal diphtheria
329,1C17.2,Laryngeal diphtheria
330,1C17.3,Cutaneous diphtheria
331,1C17.Y,Other specified diphtheria
332,1C17.Z,"Diphtheria, unspecified"
333,1C18,Brazilian purpuric fever
334,1C19,Legionellosis
335,1C19.0,Nonpneumonic Legionnaires' disease
336,1C19.1,Legionnaires disease
337,1C19.Z,"Legionellosis, unspecified"
338,1C1A,Listeriosis
339,1C1A.0,Cutaneous listeriosis
340,1C1A.1,Listerial meningitis or meningoencephalitis
341,1C1A.Y,Other specified listeriosis
342,1C1A.Z,"Listeriosis, unspecified"
343,1C1B,Nocardiosis
344,1C1B.0,Pulmonary nocardiosis
345,1C1B.1,Cutaneous nocardiosis
346,1C1B.Y,Other specified forms of nocardiosis
347,1C1B.Z,"Nocardiosis, unspecified"
348,1C1C,Meningococcal disease
349,1C1C.0,Meningococcal meningitis
350,1C1C.1,Waterhouse-Friderichsen syndrome
351,1C1C.2,Meningococcaemia
352,1C1C.20,Acute meningococcaemia
353,1C1C.2Y,Other specified meningococcaemia
354,1C1C.2Z,"Meningococcaemia, unspecified"
355,1C1C.Y,Other specified meningococcal disease
356,1C1C.Z,"Meningococcal disease, unspecified"
357,1C1D,Yaws
358,1C1D.0,Primary yaws
359,1C1D.1,Secondary yaws
360,1C1D.2,Tertiary yaws
361,1C1D.3,Latent yaws
362,1C1D.Z,"Yaws, unspecified"
363,1C1E,Pinta
364,1C1E.0,Primary lesions of pinta
365,1C1E.1,Intermediate lesions of pinta
366,1C1E.2,Late lesions of pinta
367,1C1E.3,Mixed lesions of pinta
368,1C1E.Z,"Pinta, unspecified"
369,1C1F,Endemic non-venereal syphilis
370,1C1G,Lyme borreliosis
371,1C1G.0,Early cutaneous Lyme borreliosis
372,1C1G.1,Disseminated Lyme borreliosis
373,1C1G.10,Lyme neuroborreliosis
374,1C1G.11,Lyme carditis
375,1C1G.12,Ophthalmic Lyme borreliosis
376,1C1G.13,Lyme arthritis
377,1C1G.14,Late cutaneous Lyme borreliosis
378,1C1G.1Y,Other specified disseminated Lyme borreliosis
